RepRapFirmware height map file v2 generated at 2021-06-08 23:15
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
20.00,280.00,20.00,280.00,-1.00,20.00,20.00,14,14
 -0.609, -0.431, -0.282, -0.181, -0.119, -0.070, -0.029,  0.026,  0.069,  0.127,  0.188,  0.239,  0.289,  0.348
 -0.580, -0.409, -0.270, -0.175, -0.107, -0.074, -0.039,  0.007,  0.057,  0.108,  0.157,  0.207,  0.268,  0.309
 -0.545, -0.380, -0.242, -0.139, -0.101, -0.071, -0.039, -0.001,  0.046,  0.096,  0.139,  0.186,  0.228,  0.278
 -0.501, -0.341, -0.219, -0.133, -0.089, -0.061, -0.031, -0.001,  0.046,  0.084,  0.126,  0.165,  0.199,  0.241
 -0.467, -0.313, -0.188, -0.120, -0.071, -0.054, -0.030, -0.002,  0.034,  0.073,  0.108,  0.140,  0.172,  0.203
 -0.418, -0.275, -0.157, -0.088, -0.050, -0.034, -0.016,  0.006,  0.036,  0.069,  0.097,  0.124,  0.151,  0.177
 -0.387, -0.238, -0.129, -0.064, -0.033, -0.018, -0.006,  0.016,  0.037,  0.064,  0.089,  0.109,  0.129,  0.153
 -0.339, -0.198, -0.091, -0.032, -0.002,  0.002,  0.011,  0.029,  0.046,  0.066,  0.084,  0.098,  0.114,  0.146
 -0.260, -0.148, -0.052,  0.003,  0.019,  0.024,  0.026,  0.032,  0.047,  0.061,  0.071,  0.083,  0.094,  0.108
 -0.236, -0.102, -0.009,  0.035,  0.050,  0.047,  0.044,  0.049,  0.055,  0.065,  0.069,  0.071,  0.076,  0.084
 -0.182, -0.054,  0.031,  0.071,  0.082,  0.066,  0.059,  0.054,  0.058,  0.062,  0.058,  0.054,  0.056,  0.071
 -0.116, -0.001,  0.078,  0.111,  0.111,  0.094,  0.079,  0.073,  0.068,  0.064,  0.057,  0.051,  0.043,  0.044
 -0.061,  0.047,  0.119,  0.148,  0.139,  0.114,  0.094,  0.081,  0.069,  0.064,  0.052,  0.040,  0.029,  0.023
 -0.007,  0.096,  0.156,  0.177,  0.165,  0.136,  0.134,  0.091,  0.086,  0.064,  0.056,  0.024,  0.009, -0.001
